id,title,content,type,is_vignette,is_random,created_at,updated_at
69,A 59-year-old active woman underwent,,multiple-choice,0,0,2017-07-10 01:36:47,2018-07-14 07:59:39
70,after total hip arthroplasty,,multiple-choice,0,0,2017-07-10 01:39:41,2017-07-10 01:39:41
71,After total hip arthroplasty (THA),,multiple-choice,0,0,2017-07-10 01:41:25,2017-07-10 01:41:25
72,Which of the following has been shown to increase the rate of failure,,multiple-choice,0,0,2017-07-10 01:48:41,2017-07-10 01:48:41
73,A 40-year-old female sustains the injury seen in Figure Above,,multiple-choice,0,0,2017-07-10 01:50:05,2018-07-14 07:58:47
74,A 34-year-old male presents with the right posterior,,multiple-choice,0,0,2017-07-10 01:52:17,2017-07-10 01:52:17
75,Which is the following nerve roots is at risk during anterior,,multiple-choice,0,0,2017-07-10 01:56:00,2017-07-10 01:56:00
76,A newborn with bilateral talipes equinovarus undergoes,,multiple-choice,0,0,2017-07-10 01:57:05,2017-07-10 01:57:05
77,The statements bellow are right for fracture,,multiple-choice,0,0,2017-07-10 01:58:29,2017-07-10 01:58:29
78,A 3-year-old boy has a rigid 40-degree,,multiple-choice,0,0,2017-07-10 01:59:47,2017-07-10 01:59:47
79,In a patient with vertebral tuberculosis,,multiple-choice,0,0,2017-07-10 02:01:02,2017-07-10 02:01:02
80,A patient is seen shortly after birth,,multiple-choice,0,0,2017-07-10 02:02:16,2017-07-10 02:02:16
81,"A 30-year -old, right-hand-dominant","<p>A 30-year -old, right-hand-dominant man presents to the clinic complaining of anterior right shoulder pain. There is pain mostly with an overhead movement that radiates to the biceps muscle belly. He takes no medications, is otherwise healthy, and works as a car mechanic. He is an avid volleyball player. His examination includes a positive Hawkins test, positive Yerguson&#39;s test, tenderness to palpation over the intertubercular sulcus, and a negative Speed&#39;s test. The rest of the examination is normal. Plain radiographs are normal.</p>",multiple-choice,1,0,2017-07-10 02:08:25,2018-07-09 23:48:51
82,"An active, 19-year-old gymnast","<p>An active, 19-year-old gymnast complains of ulnar-sided wrist pain. &nbsp;She has already obtained an MRI scan which reveals ECU tendinitis.</p>",multiple-choice,1,0,2017-07-10 02:14:29,2017-07-10 02:21:10
83,A 7-year-old boy arrives at the emergency,<p>A 7-year-old boy arrives at the emergency department with forearm pain. Today he was picking up his backpack when he felt a pop in his forearm that resulted in the current injury. &nbsp;His history is significant for 5 other fractures treated nonsurgically. His mother states that she had 14 fractures during childhood but is healthy now. Both the boy and his mother have blue sclera. &nbsp;Figures above are the radiographs of his injured forearm. &nbsp;</p>,multiple-choice,1,0,2017-07-10 02:21:32,2018-07-14 07:58:58
84,A 56-year -old homemaker fell down the steps,<p>A 56-year -old homemaker fell down the steps of her basement injuring her left ring finger. She was seen at an outside facility with significant deformity of the ring finger. There were no open wounds. There were severe pain and limited motion. Radiographs are shown in Figures above.</p>,multiple-choice,1,0,2017-07-10 02:32:12,2018-07-14 07:58:35
85,A 43-year -old man was struck by a car,"<p>A 43-year -old man was struck by a car while walking along the road. Neurologic examination demonstrates 5/5 strength in all muscle groups in his upper extremities but 0/5 strength throughout the lower extremities. Though sensation throughout the lower extremities is absent, he has diminished yet present perianal sensation to light touch and pinprick. His imaging studies are shown in figures above.</p>

<p>In the trauma bay, the patient &#39;s blood pressure suddenly drops to 80/50 mm Hg while his pulse increases to 120 bpm. One liter fluid bolus of lactated Ringers is infused which normalizes his blood pressure and pulse.</p>",multiple-choice,1,0,2017-07-10 02:38:02,2017-12-27 23:52:18
86,A 25-year-old worker reporting back pain and weakness,<p>A 25-year-old worker reporting back pain and weakness of both legs after felt down from top of the roof. The physical examination finding stable hemodynamic and he still able to move both lower leg with motoric power 3/5. AP X-ray view is shown in figure above.</p>,multiple-choice,1,0,2017-07-10 02:41:39,2017-12-27 23:52:57
87,"A 66 years old male , unable to walk for the","<p>A 66 years old male , unable to walk for the past six months and weakness of both hand, no history of trauma . Increasing of knee jerk and positive babinsky test are noted. Hoffman Tromner test are positive . The cervical x ray shown above</p>",multiple-choice,1,0,2017-07-10 02:44:59,2017-07-10 02:47:12
88,Here is the radiograph of a 9-year-old African-American boy,"<p>Here is the radiograph of a 9-year-old African-American boy with left-sided groin and knee pain.</p>

<p>His body mass index is 32, and he has had these symptoms for 10 days.</p>",multiple-choice,1,0,2017-07-10 02:48:20,2018-07-09 23:52:41
89,A 40-year-old man who arrives at the emergency department with a 4-day,"<p>A 40-year-old man who arrives at the emergency department with a 4-day history of fevers and severe back pain without radiation. He is normotensive at presentation with a heart rate of 86 beats per minute. Upon examination he is neurologically intact with normal sensory and motor function. He has a history of alcohol and cocaine abuse. His white blood cell (WBC) count is 12000 (reference range [rr], 4500-11000/ &mu;L) and his C-reactive protein (CRP) level is 100 mg/L (rr, 0.08-3.1 mg/L).</p>",multiple-choice,1,0,2017-07-10 02:52:58,2017-12-27 23:54:05
90,Spine 5,"<p>A 57-year-old woman who has had 3 months of back pain that radiates into her left anterolateral thigh, anterior shin, and medial ankle. Her pain has persisted after participating in physical therapy and receiving medications and an epidural injection. She has a positive straight-leg raise result and weakness in the left ankle dorsoflexion</p>",essay,1,0,2017-07-10 03:19:59,2017-07-10 15:06:56
91,Spine 4,<p>A 47-year-old man has with chief complain back pain for 6 months. &nbsp;Night pain are noted and pain in change of position. Motoric power &nbsp;of lower extremities are 4/5. &nbsp;MRI of thoracal spine is showed below.</p>,essay,1,0,2017-07-10 03:25:15,2017-07-10 15:06:40
92,Spine 3,"<p>A &nbsp;65 -year-old woman &nbsp;has main complain back pain and &nbsp;radiating pain &nbsp;into both legs. Her pain improves with bending forward or lying flat and worsens with ambulation. Her neurologic examination reveals 4/5 strength in ankle dorsiflexion, but otherwise is unremarkable. She has attempted nonsurgical care including physical therapy and medications for 6 months.</p>",essay,1,0,2017-07-10 03:31:11,2018-07-09 23:33:44
93,Spine 2,"<p>A sagittal CT scan of a 77-year-old woman who has been experiencing back pain for about 1 month. No history of trauma, No muscle weakness and sensory disturbances.</p>",essay,1,0,2017-07-10 03:32:48,2017-07-10 15:06:13
94,Spine 1,<p>21-year-old female complain about severe back pain after her car hit a tree. There is no neurologic deficit. The sagittal CT of lumbar spine is showed below</p>,essay,1,0,2017-07-10 03:36:08,2017-07-10 15:05:26
96,Oncology 4,,essay,0,0,2017-07-10 12:15:38,2018-12-04 18:36:04
97,Oncology 3,,essay,0,0,2017-07-10 12:35:48,2018-12-04 18:36:15
98,Oncology 2,,essay,0,0,2017-07-10 12:41:59,2018-12-04 18:36:25
99,Pediatric 2,<p>A 4 years old boy cannot move his left elbow after a fall onto his left &nbsp;hand while the elbow is flexed</p>,essay,1,0,2017-07-10 14:04:26,2017-07-10 15:04:15
100,Pediatric 5,<p>A two year old baby came to your clinic with a deformities on both of his feet</p>,essay,1,0,2017-07-10 14:08:10,2017-07-10 14:59:03
101,Oncology 1,,essay,0,0,2017-07-10 14:09:45,2018-12-04 18:36:35
102,Pediatric 4,<p>An 8 year old boy came with a swollen wrist after a fall in a soccer play</p>,essay,1,0,2017-07-10 14:12:33,2018-07-09 23:32:33
103,Pediatric 3,<p>A 4 years ol girl came to your clinic with a short-leg gait of the left lower extremity. History shows that she was born with breech presentation. There is no history of pain or fever. Physical examination reveals a short-leg gait with 3 cm of leg length discrepancy. The trendelenburg sign on the left hip is positive with limited abduction</p>,essay,1,0,2017-07-10 14:15:26,2017-07-10 14:56:34
105,Pediatric1,<p>A 5 years old boy came with the chief complain tilted neck. The deformity was started since he was born. He had undergone sessions of stretching &nbsp;and physiotherapy however the compliance was low.</p>,essay,1,0,2017-07-10 14:20:16,2018-07-14 07:57:09
106,Adult recon 5,"<ul>
	<li>
	<p>A 35-year-old-male complaining pain on the right knee. Pain especially during up and down stairs and unstable knee while walking.</p>
	</li>
	<li>
	<p>He had history &nbsp;of traffic accident 1 years ago.</p>
	</li>
</ul>",essay,1,0,2017-07-10 14:28:36,2018-07-14 07:58:18
107,Hand 1,"<p>44 years old right-handed female maid complaining pain at her radial sided wrist, she denies previous trauma</p>",essay,1,0,2017-07-10 14:33:49,2017-07-10 14:37:10
108,Adult recon 4,"<p>Female, 42 years old came complaining pain at medial side of her forefoot. History of daily high heels usage is admitted. The clinical pictures is as follows.<br />
&nbsp;</p>",essay,1,0,2017-07-10 14:36:05,2017-07-10 14:54:37
109,Hand 2,<p>Male 25 years old right-handed male arrived at the emergency room after accidentally he cut his own finger when working.</p>,essay,1,0,2017-07-10 14:37:32,2017-07-10 14:41:41
110,Adult recon 3,"<p>A 30-y.o healthy man who sustained &nbsp;an anterior R-shoulder dislocation while playing baseball. He requires a closed reduction under sedation at a local EMG dept. He is placed into a shoulder immobilizer and referred to your office for further treatment. Upon inquiry, the patient states that he previously dislocated the shoulder twice within the last year while playing. &nbsp;X-ray result is normal. He demonstrates positive apprehension and speed tests.</p>",essay,1,0,2017-07-10 14:39:10,2017-07-10 14:54:17
111,Hand 3,"<p>45 years old right-handed male complain about deformity of his right index finger. He says that 9 months ago, his deformed finger is only on the distal joint that cannot extend after being hit by a ball when trying to catch it.</p>",essay,1,0,2017-07-10 14:42:27,2017-07-10 14:45:50
112,Adult recon 2,<p>A 35-year-old-female had motorcycle accident. Her knee was hit by another motorcycle from front.</p>,essay,1,0,2017-07-10 14:43:05,2017-07-10 14:53:34
113,Adult recon 1,<p>A 15-year-old-girl complaining knee pain. This condition was happen more than three times with trivial injury. Physical examination found knock knees and hyperextention of both elbow and knee.</p>,essay,1,0,2017-07-10 14:46:04,2017-07-10 14:53:00
114,Hand 4,<p>35 years old right-handed male after healed fingertip injury</p>,essay,1,0,2017-07-10 14:46:16,2017-07-10 14:48:38
115,Hand 5,"<p>33 years old right-handed male complaining pain at his hand after Blowing a fist to a robber</p>

<div>&nbsp;</div>",essay,1,0,2017-07-10 14:49:13,2018-07-14 07:56:55
116,Oncology 5,,essay,0,0,2017-07-11 21:49:47,2018-12-04 18:36:46
119,BE12018-1,,multiple-choice,0,1,2017-12-07 18:12:07,2018-11-20 05:23:30
120,BE12018-2,,multiple-choice,0,1,2017-12-07 18:36:46,2018-01-03 09:25:04
121,BE12018-3,"<p>Figures above are the radiographs of a 50-year-old man who has pain radiating into both legs since 6 months ago. His back pain worsened &nbsp;with bending forward and ambulation and muscle atrophy are noted at his lower leg. His neurologic examination reveals normal strength in ankle dorsiflexion, but &nbsp;3/5 in ankle plantar flexion.</p>

<p>&nbsp;</p>",multiple-choice,1,0,2017-12-07 18:41:40,2018-11-20 05:23:16
122,BE12018-4,"<p>A 22-year-old man has a cervical fracture-dislocation after being involved in a motor vehicle collision. Examination reveals normal sensation in his upper extremities and strength that is graded as 5/5 in his biceps, 4/5 in wrist extensors, 4/5 in triceps, and 0/5 in his hands and inferior extremities muscles. With preservation of pinprick sensation only at perianal region</p>",multiple-choice,1,0,2017-12-07 18:57:17,2018-07-09 23:37:23
124,BE12018-6,,multiple-choice,0,1,2017-12-07 19:08:44,2017-12-07 19:08:44
125,BE12018-7,,multiple-choice,0,1,2017-12-07 19:15:44,2017-12-07 19:15:44
126,BE12018-8,"<p>This is the MR image of a 43-year-old woman with a 3-week history of neck pain radiating into her left arm. She denies&nbsp;weakness, or problems with balance. Examination reveals her pain is reproduced with ipsilateral neck rotation.</p>",multiple-choice,1,0,2017-12-07 19:20:30,2017-12-10 09:42:27
127,BE12018-9,<p>This is cervical spine x-ray of a 25-year-old man who has neck pain and tetraplegia after a motor vehicle collision.</p>,multiple-choice,1,0,2017-12-07 19:30:40,2017-12-07 19:48:16
128,BE12018-10,,multiple-choice,0,1,2017-12-07 19:49:07,2018-11-20 05:22:56
129,BE12018-11,"<p>This is an axial MR image of a 34-year-old woman who has had severe right leg pain for 3 months. The pain starts in her back and radiates into her posterior thigh, lateral shin, and dorsum of the foot. Examination reveals a positive right straight-leg raise result, weakness (4/5) in the right extensor hallucis longus, and numbness in her great toe.</p>",multiple-choice,1,0,2017-12-07 20:33:49,2018-11-20 05:23:05
130,BE12018-12,"<p>These are CT scan and MR image of a 60-year-old woman who fell at home. She has severe back pain after trauma. Examination reveals severe thoracic kyphosis, but the motor and sensory functions are normal.</p>",multiple-choice,1,0,2017-12-07 20:45:03,2017-12-07 20:57:20
131,BE12018-13,<p>This is the lateral radiograph of the lumbosacral junction and pelvis of a 67-year-old woman with a lumbar deformity who is being evaluated for surgery.</p>,multiple-choice,1,0,2017-12-07 20:59:08,2017-12-07 21:09:08
132,BE12018-14,,multiple-choice,0,1,2017-12-07 21:12:13,2017-12-07 21:12:13
133,BE12018-15,,multiple-choice,0,1,2017-12-07 21:20:32,2018-07-09 23:38:22
134,BE12018-16,,multiple-choice,0,1,2017-12-07 21:34:07,2017-12-07 21:35:45
137,BE12018-19,,multiple-choice,0,1,2017-12-07 21:46:53,2017-12-07 21:46:53
138,BE12018-20,,multiple-choice,0,1,2017-12-07 21:49:39,2019-11-08 09:30:17
139,BE12018-21,,multiple-choice,0,1,2017-12-07 21:52:11,2017-12-07 21:52:11
140,BE12018-22,,multiple-choice,0,1,2017-12-07 21:54:34,2017-12-07 21:54:34
141,BE12018-23,,multiple-choice,0,1,2017-12-07 21:59:02,2017-12-07 21:59:02
142,BE12018-24,,multiple-choice,0,1,2017-12-07 22:01:49,2017-12-07 22:01:49
143,BE12018-25,,multiple-choice,0,1,2017-12-07 22:04:49,2017-12-07 22:04:49
144,BE12018-26,,multiple-choice,0,1,2017-12-07 22:14:26,2017-12-07 22:14:26
145,BE12018-27,,multiple-choice,0,1,2017-12-07 22:18:23,2017-12-07 22:18:23
146,BE12018-28,,multiple-choice,0,1,2017-12-07 22:22:02,2017-12-07 22:22:02
147,BE12018-29,,multiple-choice,0,1,2017-12-07 22:26:25,2017-12-07 22:26:25
148,BE12018-30,,multiple-choice,0,1,2017-12-07 22:30:52,2017-12-07 22:30:52
149,BE12018-31,,multiple-choice,0,1,2017-12-08 04:26:58,2017-12-08 04:26:58
150,BE12018-32,,multiple-choice,0,1,2017-12-08 04:36:44,2018-11-20 05:19:15
151,BE12018-33,,multiple-choice,0,1,2017-12-08 04:41:05,2017-12-08 04:41:05
152,BE12018-34,,multiple-choice,0,1,2017-12-08 04:44:07,2017-12-08 04:44:07
154,BE12018-36,,multiple-choice,0,1,2017-12-08 04:52:33,2017-12-08 04:52:33
155,BE12018-37,,multiple-choice,0,1,2017-12-08 04:55:52,2019-11-08 09:31:28
156,BE12018-38,,multiple-choice,0,1,2017-12-08 04:58:20,2018-11-20 05:19:07
157,BE12018-39,,multiple-choice,0,1,2017-12-08 05:24:32,2019-11-08 09:33:25
158,BE12018-40,,multiple-choice,0,1,2017-12-08 05:27:41,2017-12-08 05:27:41
159,BE12018-41,"<p>Six month&nbsp;before coming to the clinic, an 80-year-old male sustained an open fracture on his left tibia but refuse any medical treatment. Today the patient come again to the hospital with pus draining&nbsp;from the wound and inability to walk. After thorough evaluation, you diagnose this patient with chronic osteomyelitis and non-union of the left tibia due to neglected untreated open fracture Cierny stage 3 type B.</p>",multiple-choice,1,0,2017-12-08 05:32:33,2018-11-20 05:18:57
160,BE12018-42,"<p>A 53-year-old male arrives in the trauma bay with a GCS 15 and hemodynamically stable following a high-speed motor vehicle crash. He is complaining of severe right hip pain and is unable to move his right lower extremity. You note that his leg is shortened, slightly flexed, internally rotated, and adducted. He has symmetric pulses, and he is neurologically intact throughout his extremity. He has a normal examination otherwise. As part of the standard Advanced Trauma Life Support algorithm, an an AP pelvis is obtained seen in figure below (Picture 1)</p>",multiple-choice,1,0,2017-12-08 22:11:18,2017-12-08 22:28:39
161,BE12018-43,"<p>A 26-year-old man involved in a high-speed motor vehicle collision arrives to the emergency department with an obvious deformity of the right leg. Orthogonal radiographs of the right tibia/fibula are depicted in figures below. An initial assessment deems the patient to be stable with no evidence of associated intrathoracic or intra-abdominal injuries. The skin is intact, there are palpable pulses distally, soft compartments, and the patient is deemed suitable for operative treatment</p>",multiple-choice,1,0,2017-12-08 22:32:05,2017-12-08 22:40:53
162,BE12018-44,<p>A 55-year-old man complains of right ankle pain and inability to bear weight after he fell down a hill while mowing his lawn. AP and lateral radiographs of the right ankle demonstrate a spiral fracture of the fibula at the level of the plafond.</p>,multiple-choice,1,0,2017-12-08 22:42:24,2018-11-20 05:18:47
163,BE12018-45,"<p>A 49-year-old female with stage IV breast cancer presents to your office with worsening left hip pain. A recent bone scan ordered by her oncologist identifies multiple lesions in the spine, right humeral shaft, left clavicle, right ilium, and left proximal femur. She recently underwent radiation to the spine, left proximal femur, and right humeral shaft.</p>",multiple-choice,1,0,2017-12-09 00:20:37,2018-07-09 23:47:57
164,BE12018-46,"<p>A 16-year-old female sprains her ankle playing Soccer&nbsp;and is brought to the emergency room. X-rays are negative for fracture, but an orthopaedic consult is placed to evaluate a suspicious lesion in the distal tibia. Prior to her acute ankle injury, she denies any pain in her lower leg. Her father died at a young age of colon cancer, and she is anxious about this finding being suggestive of malignancy. X-ray is shown in figure below.</p>",multiple-choice,1,0,2017-12-09 00:28:12,2018-11-20 05:18:39
165,BE12018-47,"<p>A 55-year-old man with a long history of type 2 diabetes presents with a swollen, erythematous, hot, and mildly tender right foot. The majority of his erythema is localized in his midfoot. He reports that he has had increased pain in his foot for the past week. He has been doing his regular foot care without any skin breakdown. In addition, he has had no fevers, chills, or elevated blood sugars. On physical examination his vital signs are stable. He has swelling in his right foot, but no visible ulcer. His pulse is strongly palpable, but he has decreased sensation bilaterally in a stocking distribution to the level of the mid tibia. In addition to concern for infection you wish to evaluate the patient for Charcot foot.</p>",multiple-choice,1,0,2017-12-09 00:34:54,2018-11-20 05:18:12
166,BE12018-60,,multiple-choice,0,1,2017-12-09 00:42:19,2018-07-09 23:45:51
167,BE12018-59,,multiple-choice,0,1,2017-12-09 00:44:41,2018-11-20 05:18:25
168,BE12018-58,,multiple-choice,0,1,2017-12-09 00:47:39,2018-07-09 23:45:41
169,BE12018-48,"<p>The patient is a 68-year-old, right-handed male who presents to the emergency department following a tablesaw injury to his nondominant left index finger. The patient states that he was working at home after having &ldquo;a few&rdquo; beers, when his hand slipped and his nondominant index finger was drawn into the blade of the saw. On examination, he has sustained an amputation to the index finger at the mid-shaft of the proximal phalanx, with a stellate, multilevel soft tissue injury to the index finger base. Radiographs demonstrate a comminuted fracture of the proximal phalanx with intra-articular involvement and a fracture of the metacarpal head. The amputated index finger was irretrievable and not brought to the hospital.</p>",multiple-choice,1,0,2017-12-09 00:49:59,2018-11-20 05:18:02
170,BE12018-57,,multiple-choice,0,1,2017-12-09 00:50:09,2018-07-14 07:56:23
171,BE12018-56,"<p>A 50-year-old female with multiple joint pain of the hand and feet. She experienced the pain symmetrically for the last 8 weeks and more in the proximal part of the joint. The pain is usually worsened early in the morning accompanied with stiffness after a period of inactivity. After lab exam and x-ray examination, the orthopedic surgeon diagnoses her with rheumatoid arthritis of the hand in the synovitis stage.</p>",multiple-choice,1,0,2017-12-09 00:55:35,2017-12-09 01:03:07
172,BE12018-55,"<p>A 50-year-old female with multiple joint pain of the hand and feet. She experienced the pain symmetrically for the last 8 weeks and more in the proximal part of the joint. The pain is usually worsened early in the morning accompanied by stiffness after a period of inactivity. After lab exam and x-ray examination, the orthopedic surgeon diagnoses her with rheumatoid arthritis of the hand in the synovitis stage.</p>",multiple-choice,1,0,2017-12-09 01:05:44,2017-12-09 05:57:21
173,BE12018-54,,multiple-choice,0,1,2017-12-09 05:58:29,2019-11-08 09:21:51
174,BE12018-53,<p>An 11-year-old girl came to the clinic with chief complain a crooked back. She has not had her period (menarche) yet. The physical examination showed that she still has a balanced shoulder with a prominent hump on the right thoracic area. X-ray evaluation depicts a structural thoracal curve apex in T8 with Cobb angle of 65◦ and non-structural lumbar curve apex in L3 with Cobb angle of 30◦. Further evaluation showed that the apex of the lumbar curve is still within central sacral line between the pedicles. Thoracic sagittal profile showed 20◦ of thoracic kyphosis.</p>,multiple-choice,1,0,2017-12-09 06:01:43,2018-11-20 05:17:50
175,BE12018-52,"<p>A 6-year-old female comes to the clinic with her mother observing a thickening and slight enlargement on both of her knees with some bowing deformity. &nbsp;The enlargement is not severely progressive, however there also same bumps found around the wrist, the ankle and around the costochondral junction. Her mother also noticed that her child has smaller body compared to her friends.</p>",multiple-choice,1,0,2017-12-09 06:10:27,2018-11-20 05:17:42
